"BehaviorSpace results (NetLogo 6.2.0)"
"model.nlogo"
"colony 4"
"06/17/2021 15:39:49:358 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","35"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5"
"nr_ants","82",,,,,"82",,,,,"82",,,,,"82",,,,,"82",,,,
"nr_small","17",,,,,"17",,,,,"17",,,,,"17",,,,,"17",,,,
"nr_medium","14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,
"nr_large","16",,,,,"16",,,,,"16",,,,,"16",,,,,"16",,,,
"nr_prepupae","27",,,,,"27",,,,,"27",,,,,"27",,,,,"27",,,,
"nr_pupae","29",,,,,"29",,,,,"29",,,,,"29",,,,,"29",,,,
"vision","6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,
"initial_placing","center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,
"max_tiredness","100",,,,,"100",,,,,"100",,,,,"100",,,,,"100",,,,
"scent_range","12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,
"pheromone_diffusion","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"cd_small","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"cd_medium","3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,
"cd_large","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"cd_prepupae","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"cd_pupae","2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,
"speed","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"pickup_range","0.3",,,,,"0.3",,,,,"0.3",,,,,"0.3",,,,,"0.3",,,,
"FOV","120",,,,,"120",,,,,"120",,,,,"120",,,,,"120",,,,
"[reporter]","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae"
"[final]","3.6418912223679523","10.407099408701356","9.021271565532356","7.319546702577335","7.910499980501957","3.824798693154394","11.207568003660457","9.620480973422184","6.519888696530566","8.612357576223344","3.141808241481488","11.332177989401794","10.067997705685562","6.167916226350985","8.729096354345591","3.87361410053813","12.042444710226146","8.08958547917705","7.715443107573098","8.377408729476072","3.9579651481384777","10.506012755402883","10.899808598121862","5.999225481995535","8.811116743152507"
"[min]","1.6621080898265126","1.3599229131360182","1.5117625366396945","1.6896908697119366","1.5290108362975283","1.63950964465799","1.7504274776667912","1.1357002567982482","1.4232133644811311","1.4944742774011237","1.9457600307807268","1.602799531507354","1.2841040161787578","1.369587603484408","1.3373064101453431","1.7843398871167162","1.4607115491888192","1.4708829407457462","1.8144571697326526","1.5908454192567592","1.3703090471852153","1.228839958832024","1.5641209315530482","1.49487024330851","1.3894187061435235"
"[max]","3.7025681071940775","11.002261987003655","9.021271565532356","7.4094192391357865","8.027873060569796","3.828915398571874","11.355658890425067","9.6438941466322","6.596341617508646","8.93916834925665","3.187029682553413","11.350788944673784","10.116387520829296","6.498672236147886","8.74141583263789","3.9563026570984654","12.09413062889675","8.314643478893503","7.715443107573098","8.493286230580331","4.090070364195064","11.098407734556693","10.899808598121862","6.02136254427791","8.811116743152507"
"[mean]","3.233264082366798","8.154386193643163","5.898169363621849","5.1517507710708355","5.569482758831462","3.449809691366343","8.292276036709971","5.356257582751246","4.594411081522118","6.088641715497786","2.901003797259691","8.14634186102034","6.451391341879578","4.623513546179585","5.2663922286949285","3.5219469168580324","8.347576003229554","5.157401794530334","5.556409901299017","5.454591548206346","3.694463011024874","8.342582969846303","6.832168137517966","4.372703783457399","5.9578650250645415"
"[steps]","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880"

"[all run data]","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae"
,"1.9632673258257511","1.6547141576207203","1.9913878106314296","1.7648425497268387","1.9796254635537822","2.0161259080463454","2.0942993776862684","1.8293074672761451","1.756009061877352","1.6351346122812365","2.0056498732753627","1.6988022385243409","1.9066507798278647","1.5053193906163118","1.892596871194206","2.0987993008171344","1.4611430129224487","1.8372164282473702","2.1679192391183033","1.8649025106266377","1.5672426689676897","1.728634066522849","2.0522580983181897","2.1475215015898677","1.9385520080551037"
