"BehaviorSpace results (NetLogo 6.2.0)"
"model.nlogo"
"colony 3"
"06/17/2021 15:39:15:544 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","35"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5"
"nr_ants","59",,,,,"59",,,,,"59",,,,,"59",,,,,"59",,,,
"nr_small","15",,,,,"15",,,,,"15",,,,,"15",,,,,"15",,,,
"nr_medium","18",,,,,"18",,,,,"18",,,,,"18",,,,,"18",,,,
"nr_large","18",,,,,"18",,,,,"18",,,,,"18",,,,,"18",,,,
"nr_prepupae","15",,,,,"15",,,,,"15",,,,,"15",,,,,"15",,,,
"nr_pupae","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"vision","6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,
"initial_placing","center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,
"max_tiredness","100",,,,,"100",,,,,"100",,,,,"100",,,,,"100",,,,
"scent_range","12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,
"pheromone_diffusion","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"cd_small","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"cd_medium","3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,
"cd_large","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"cd_prepupae","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"cd_pupae","2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,
"speed","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"pickup_range","0.3",,,,,"0.3",,,,,"0.3",,,,,"0.3",,,,,"0.3",,,,
"FOV","120",,,,,"120",,,,,"120",,,,,"120",,,,,"120",,,,
"[reporter]","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae"
"[final]","3.0843136725539213","10.060918737099096","10.758076384069861","5.620819288613941","8.09647239127462","3.122657712831828","10.786162604501767","8.650601321970024","6.33167679427262","7.406473169035317","3.3738672183266214","10.658655993929884","8.766212171193931","6.2514333568717895","7.903504044170584","3.44609182889675","11.653705525616544","9.387052542646337","6.767730983468957","5.593157188792551","3.0055137878573723","11.44309419881764","9.728000474378154","6.4779464169660885","7.7832024036190175"
"[min]","1.6472560037033237","1.5362823650533324","1.5477353115595447","1.8757922992994327","1.3121321186856196","1.7134189653208989","1.500481169753317","1.5426322350774326","1.841769843952349","1.4933256547128746","1.7041828058127224","1.2570931223125115","1.4145780400328736","1.2124573590245487","1.0963503691209826","1.9204737780433","1.7054543824197599","1.9116437318986854","1.6189618622465092","1.281908758804875","1.7931438865388798","1.846705047683302","1.6921126079484177","1.4046150553874606","1.5266850037793303"
"[max]","3.1557672327831","10.18247868022383","10.758186397369805","5.952514303795188","8.09647239127462","3.1538213604704537","10.853383518491405","8.770610321946048","6.357826265574969","7.5004960540706636","3.497542627455313","10.674632210366394","9.458001629273342","6.276549477258696","8.040434460819233","3.4990166285675315","11.653705525616544","9.396108667558085","6.946259558070426","6.351318292570615","3.052812787667212","11.443723589493498","9.804856750353188","6.573070452131058","7.79235138320894"
"[mean]","2.821059144735973","7.460313032236328","6.550224227955124","4.616319803186166","5.257495480696096","2.8073031106536264","7.154237406615165","5.739566193211797","4.642395172302519","5.47445457475491","3.177365666645821","7.687212775079037","6.12518040450232","4.434144670965788","5.050531105223855","3.2169041452433405","7.8023863170786525","6.129839353320894","4.89348259816156","4.541950852583831","2.762234683974154","7.537068480095677","6.3703314660806605","5.051454457441916","5.029760814863812"
"[steps]","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880"

"[all run data]","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae"
,"1.7151280027785847","1.8128129792144685","1.762256567694254","2.335077469132636","1.7087095548986597","1.807472419564472","1.7901085635300729","2.1908265894761096","2.027228005684444","1.6693938183858752","1.835059483306458","2.014453790737035","1.5932928746298176","1.8326297870229231","1.6673551334671202","1.9816920965134401","1.9839781432278565","2.061743099643341","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9124948433176279","1.9148567855573861","1.9357674685019175","2.1040011536231176"
,"1.7151280027785847","1.812812979214469","1.762256567694254","2.335077469132636","1.7087095548986597","1.8074724195644718","1.7901085635300724","2.1908265894761088","2.027228005684444","1.6693938183858752","1.8350594833064582","2.0144537907370355","1.5932928746298174","1.8326297870229231","1.6673551334671202","1.98169209651344","1.983978143227856","2.0617430996433415","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9124948433176274","1.9148567855573866","1.9357674685019175","2.1040011536231176"
,"1.7151280027785847","1.8128129792144685","1.762256567694254","2.323146380902244","1.7087095548986597","1.807472419564472","1.7968647233247228","2.1908265894761096","2.0272280056844445","1.6693938183858752","1.835059483306458","2.014453790737035","1.5932928746298178","1.8326297870229231","1.6673551334671202","1.9816920965134401","1.9839781432278565","2.061743099643341","2.0634653918390042","1.778460960904979","1.8787155076421755","1.9124948433176279","1.9148567855573861","1.9357674685019173","2.1040011536231176"
,"1.7211367189730917","1.8128129792144685","1.762256567694254","2.326436946267127","1.70870955489866","1.8074724195644716","1.7941456385822252","2.190826589476109","2.0272280056844445","1.6693938183858752","1.8350594833064582","2.0144537907370355","1.5932928746298174","1.8326297870229233","1.6673551334671202","1.98169209651344","1.9839781432278565","2.0617430996433406","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9124948433176279","1.9148567855573861","1.9357674685019175","2.104001153623117"
,"1.7194783990717069","1.812812979214469","1.762256567694254","2.32972928115902","1.7087095548986597","1.807472419564472","1.7914289272150319","2.1908265894761096","2.0272280056844445","1.6693938183858748","1.8350594833064582","2.014453790737035","1.5932928746298174","1.8326297870229233","1.6673551334671202","1.98169209651344","1.9839781432278565","2.061743099643341","2.0634653918390042","1.778460960904979","1.8787155076421753","1.9124948433176274","1.9148567855573866","1.9357674685019173","2.084420656885668"
,"1.717924650774833","1.8128129792144685","1.762256567694254","2.333023278608474","1.7087095548986597","1.8074724195644725","1.788714734418146","2.1908265894761096","2.0272280056844445","1.6693938183858748","1.835059483306458","2.014453790737035","1.5932928746298176","1.8326297870229233","1.6673551334671202","1.98169209651344","1.983978143227856","2.061743099643341","2.0634653918390042","1.778460960904979","1.8787155076421749","1.9124948433176274","1.9148567855573861","1.9357674685019175","2.089077486567503"
,"1.7164816785449113","1.8128129792144685","1.762256567694254","2.336318840049755","1.7087095548986597","1.807472419564472","1.786003217324431","2.1908265894761096","2.027228005684444","1.6693938183858748","1.8350594833064582","2.014453790737035","1.5932928746298174","1.8326297870229231","1.66735513346712","1.98169209651344","1.9839781432278565","2.061743099643341","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9124948433176279","1.9148567855573861","1.9357674685019175","2.093747841614658"
,"1.7151556911631043","1.8128129792144685","1.762256567694254","2.339615874515966","1.70870955489866","1.8074724195644718","1.783294546240244","2.190826589476109","2.0272280056844445","1.6693938183858748","1.8350594833064584","2.0144537907370346","1.5932928746298174","1.8326297870229231","1.6673551334671206","1.98169209651344","1.983978143227857","2.0617430996433415","2.0634653918390047","1.778460960904979","1.8787155076421755","1.9124948433176274","1.9281381622271516","1.9357674685019173","2.0984309631177958"
,"1.7173910617511006","1.8128129792144685","1.762256567694254","2.3429142979244384","1.7087095548986597","1.8074724195644716","1.7805889060354585","2.190826589476109","2.0272280056844445","1.6693938183858752","1.8350594833064582","2.014453790737035","1.605850871633955","1.8326297870229233","1.66735513346712","1.9816920965134401","1.9839781432278565","2.0598148382323647","2.0634653918390042","1.778460960904979","1.8787155076421755","1.9127822525780092","1.9253889016873065","1.9357674685019175","2.1031261460483828"
,"1.7154175641740443","1.8128129792144685","1.762256567694254","2.346214032440858","1.7087095548986597","1.807472419564472","1.7778864977104634","2.190826589476109","2.027228005684444","1.6693938183858748","1.8350594833064582","2.0144537907370346","1.6033008247697869","1.8326297870229233","1.66735513346712","1.98169209651344","1.9902293754449671","2.0713816279905366","2.0634653918390047","1.778460960904979","1.8787155076421755","1.9002225948651694","1.9226408814992197","1.9357674685019175","2.107832734727996"
,"1.7136431371166467","1.8128129792144685","1.762256567694254","2.3495150059122545","1.7087095548986597","1.8074724195644718","1.7751875401665362","2.19082658947611","2.027228005684444","1.6693938183858748","1.8350594833064584","2.02157411640692","1.600757682903703","1.8326297870229233","1.6673551334671202","1.9816920965134395","1.9886796039593537","2.0694414217959323","2.0634653918390042","1.778460960904979","1.8787155076421749","1.902876412582055","1.9198941839097243","1.9357674685019173","2.1125501187292364"
,"1.7120739760866237","1.8128129792144685","1.762256567694254","2.3528171513603318","1.7087095548986597","1.807472419564472","1.7724922722104814","2.1908265894761096","2.0272280056844445","1.6693938183858748","1.8350594833064582","2.019881010208442","1.5982217502308105","1.8326297870229231","1.6673551334671202","1.9816920965134401","1.9871664275077734","2.067574018596403","2.0634653918390047","1.7784609609049788","1.8787155076421753","1.9055997910755142","1.9171488985564678","1.9357674685019175","2.117277729163282"
,"1.710715655674488","1.8128129792144685","1.762256567694254","2.356120406527821","1.7087095548986597","1.8074724195644718","1.7698009548297797","2.190826589476109","2.0272280056844445","1.6693938183858748","1.835059483306458","2.0182149106101885","1.5956933481392004","1.8326297870229231","1.6673551334671202","1.98169209651344","1.9856910016542868","2.0657795066850975","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9083928269229797","1.9144051233116945","1.9357674685019173","2.1220150353140332"
,"1.7095730020484725","1.812812979214469","1.762256567694254","2.3594247134715327","1.7087095548986597","1.8074724195644718","1.767113873780921","2.190826589476109","2.0272280056844445","1.6693938183858748","1.8350594833064584","2.016576576222928","1.5931728163654981","1.8326297870229231","1.66735513346712","1.985467758113643","1.9842545004445742","2.0640579577506224","2.0634653918390042","1.7784609609049788","1.8787155076421753","1.9112554860052242","1.911662965243489","1.9357674685019177","2.126761541583266"
,"1.7086499763103267","1.8128129792144685","1.762256567694254","2.374537065118384","1.7087095548986597","1.8074724195644718","1.764431342541251","2.1908265894761088","2.0272280056844445","1.6693938183858752","1.8350594833064582","2.014966780971077","1.5906605142372818","1.8326297870229231","1.6673551334671202","1.984358106989418","1.9828581141787776","2.0624094348295725","2.0634653918390042","1.7784609609049788","1.8787155076421749","1.9141876037733532","1.9089225417138904","1.9357674685019177","2.1315167847150533"
,"1.7079495756347738","1.812812979214469","1.762256567694254","2.374907549731262","1.7087095548986597","1.807472419564472","1.761753705683891","2.190826589476109","2.027228005684444","1.6693938183858752","1.8350594833064584","2.013386313563424","1.5881568220091535","1.8326297870229231","1.6673551334671202","1.9833782989094368","1.9815030468769617","2.060834000693119","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9171888867408216","1.9061839816369737","1.9357674685019173","2.1362803312712417"
,"1.7074737585189126","1.8128129792144685","1.762256567694254","2.3752926609166574","1.7087095548986597","1.8074724195644718","1.759081342746387","2.190826589476109","2.0272280056844445","1.6693938183858752","1.8350594833064582","2.011835976862299","1.5856621422997672","1.8326297870229231","1.6673551334671202","1.9825334019311536","1.9801905134255806","2.0593317266099977","2.0634653918390042","1.778460960904979","1.8787155076421753","1.9202589151671978","1.9034474269245294","1.9357674685019173","2.1410517753327922"
,"1.7072233991552515","1.8128129792144685","1.762256567694254","2.3756930281007245","1.70870955489866","1.8074724195644718","1.756414672677139","2.1908265894761096","2.0398940507725514","1.6693938183858752","1.8350594833064584","2.0232111276988562","1.5831769016375878","1.8326297870229231","1.6673551334671202","1.981827999784681","1.978921736396247","2.057902701427171","2.0634653918390047","1.7784609609049795","1.8787155076421753","1.923397146875202","1.9007130341525063","1.9357674685019175","2.1458307364045526"
,"1.7071982740182896","1.8128129792144685","1.762256567694254","2.376109324645819","1.7087095548986597","1.8074724195644716","1.7537541589598884","2.190826589476109","2.037261190119603","1.6693938183858752","1.8350594833064582","2.019001231045997","1.5807015521236922","1.8326297870229233","1.6673551334671202","1.9812660794523076","1.9776979425317112","2.0565470409088396","2.0634653918390042","1.778460960904979","1.8787155076421753","1.9266029221195464","1.8979809764882123","1.9357674685019175","2.1506168575034157"
,"1.7073970814384942","1.8128129792144685","1.7622565676942543","2.3765422704775445","1.7087095548986597","1.807472419564472","1.751100315536216","2.1908265894761096","2.0346530465361594","1.6693938183858752","1.8350594833064582","2.0148256996512712","1.5782365732204247","1.8326297870229231","1.66735513346712","1.9808509261272993","1.9765203588981197","2.055264897273783","2.0634653918390047","1.778460960904979","1.8787155076421755","1.929875469406185","1.8952514459266487","1.9357674685019175","2.155409803411984"
,"1.7078174925255607","1.812812979214469","1.762256567694254","2.376992634932709","1.7087095548986597","1.8074724195644718","1.748453713669932","2.190826589476109","2.0320707815011505","1.6693938183858752","1.8350594833064582","2.010685467511235","1.575782473675225","1.8326297870229231","1.6673551334671202","1.9805850315064086","1.986268580000618","2.0540564688700886","2.0634653918390047","1.778460960904979","1.8787155076421749","1.9332139121443117","1.8925246558947937","1.9357674685019175","2.1602092590817303"
,"1.7084562296103556","1.8128129792144685","1.762256567694254","2.377461239837183","1.7087095548986597","1.8074724195644716","1.7458149899264122","2.190826589476109","2.0295156177705374","1.6693938183858752","1.8350594833064582","2.00658148315647","1.5733397935894533","1.8326297870229231","1.66735513346712","1.98047002108701","1.9829501302034356","2.0529220099245604","2.0634653918390047","1.7784609609049788","1.8787155076421753","1.9366172760013545","1.8898008442956373","1.9357674685019175","2.1650149281713498"
,"1.7093091666731837","1.8128129792144685","1.762256567694254","2.377948962822524","1.7087095548986597","1.807472419564472","1.7431848554755307","2.190826589476109","2.0269888422695335","1.6693938183858752","1.835059483306458","2.0025147087010744","1.5709091066424616","1.8326297870229233","1.6673551334671202","1.980506605261715","1.9796967720902015","2.051861840301185","2.0634653918390047","1.7784609609049788","1.8787155076421753","1.9400844968233817","1.8870802770800401","1.9357674685019175","2.1698265317074914"
,"1.7103714451904537","1.8128129792144685","1.762256567694254","2.3784567408898396","1.7087095548986597","1.8074724195644716","1.7405641069704103","2.1908265894761096","2.0244918090017174","1.6693938183858752","1.8350594833064582","1.9984861187913299","1.5684910224815953","1.8326297870229231","1.66735513346712","1.9806945575769066","1.9765102671774086","2.0508763551984464","2.0634653918390047","1.778460960904979","1.8787155076421753","1.943614428979953","1.8843632524549239","1.9357674685019175","2.1746438068563707"
,"1.7116375985176886","1.8128129792144685","1.762256567694254","2.3789855742285284","1.7087095548986597","1.807472419564472","1.737953639307488","2.190826589476109","2.0220259419471978","1.6693938183858748","1.8350594833064582","1.9944966994551265","1.5660861892890725","1.8326297870229236","1.6673551334671202","1.981032721687709","1.9733923785705747","2.0499660347085937","2.0634653918390042","1.778460960904979","1.8787155076421753","1.9472058539930817","1.8816501058622468","1.9357674685019175","2.1794665057959643"
,"1.7131016782736919","1.8128129792144685","1.762256567694254","2.390733659169874","1.7087095548986597","1.8074724195644718","1.7353544606387055","2.1908265894761096","2.0195927379159744","1.6693938183858752","1.8350594833064584","1.99054744685544","1.563695296536924","1.8326297870229231","1.6673551334671202","1.9815190465167611","1.9703448664612984","2.049131453152739","2.0634653918390047","1.778460960904979","1.8787155076421753","1.9508574893144655","1.8789412158960859","1.9357674685019173","2.184294394679533"
,"1.7147573770519509","1.8128129792144685","1.7622565676942543","2.3885545068887755","1.70870955489866","1.820041344362952","1.7327677100865526","2.1908265894761096","2.0171937693157935","1.6693938183858748","1.8350594833064584","1.9866393659531982","1.5613190779411725","1.8326297870229233","1.6673551334671202","1.9981445106121722","1.9673694834727553","2.0483732880934777","2.0634653918390042","1.7784609609049788","1.8787155076421753","1.954567997122843","1.8762370113673217","1.9357674685019177","2.1891272526821353"
,"1.7165981429701678","1.8128129792144685","1.762256567694254","2.386415422411613","1.7087095548986597","1.8172741765122729","1.7301946787103992","2.190826589476109","2.0148306867861123","1.6693938183858748","1.8350594833064582","1.9827734690870926","1.5589583146262564","1.8326297870229231","1.66735513346712","1.995705593936278","1.9644679699008836","2.0476923289112077","2.0634653918390047","1.778460960904979","1.8787155076421753","1.958335993023715","1.8735379797795721","1.9357674685019173","2.193964871122672"
,"1.7186172828836115","1.8128129792144685","1.762256567694254","2.384318274546963","1.7087095548986597","1.8145262665556139","1.7276368343916326","2.1908265894761088","2.0125052216412365","1.6693938183858748","1.8350594833064582","1.9789507744804888","1.5566138385102193","1.8326297870229236","1.6673551334671202","1.9934086302828438","1.9616420489045063","2.0470894848112415","2.0634653918390047","1.7784609609049788","1.8787155076421753","1.9621600545460685","1.8708446775501524","1.9357674685019173","2.1988070526546952"
