"BehaviorSpace results (NetLogo 6.2.0)"
"model.nlogo"
"colony 2"
"06/17/2021 15:38:43:956 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","35"
,"1.799558039307449","2.132878436708091","1.6562843587083818","2.1590592591062614","1.7872324811666047","2.06321488911832","2.032912335859538","2.108182358443558","2.1022138515606636","1.595733395408671","1.922233706002279","2.0924230628983675","1.6482469581714736","1.8419619601004196","1.559004835826807","1.8184957345367097","1.9125882761463555","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938004","2.0702516363411236","1.983903202458031","1.8372128621473243"
,"1.7995580393074493","2.132878436708091","1.6562843587083818","2.1590592591062614","1.7872324811666047","2.0632148891183206","2.032912335859538","2.105200713747876","2.1022138515606636","1.595733395408671","1.922233706002279","2.094374045898528","1.6482469581714734","1.8419619601004196","1.559004835826807","1.8184957345367097","1.9353380749980957","1.7957321006686422","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938001","2.070251636341123","1.983903202458031","1.8372128621473243"
,"1.799558039307449","2.132878436708091","1.656284358708381","2.1590592591062614","1.7872324811666047","2.06321488911832","2.032912335859538","2.1022465440474924","2.1022138515606636","1.595733395408671","1.9222337060022787","2.096410327077116","1.6482469581714734","1.8419619601004196","1.5590048358268067","1.8184957345367097","1.93052833621683","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938004","2.0702516363411236","1.983903202458031","1.871822070270702"
,"1.799558039307449","2.132878436708091","1.6562843587083813","2.1590592591062614","1.787232481166605","2.06321488911832","2.032912335859538","2.0993209983139627","2.1022138515606636","1.5957333954086705","1.922233706002279","2.098529827370616","1.6482469581714736","1.8419619601004196","1.5590048358268074","1.8184957345367094","1.9257362085212226","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938004","2.0702516363411236","1.983903202458031","1.8637767057484649"
,"1.799558039307449","2.132878436708091","1.6562843587083813","2.159059259106261","1.7872324811666047","2.06321488911832","2.032912335859538","2.0964252783910244","2.1022138515606636","1.595733395408671","1.9222337060022787","2.1007304538708715","1.6482469581714736","1.8419619601004196","1.5590048358268074","1.8184957345367097","1.9209641933565629","1.7957321006686422","2.1619932396197203","1.8041579153580127","1.8288817413378007","1.7989592051938001","2.0702516363411236","1.983903202458031","1.8557417699718686"
,"1.799558039307449","2.132878436708091","1.6562843587083818","2.159059259106261","1.787232481166605","2.0632148891183197","2.0329123358595385","2.0935606410407366","2.1022138515606636","1.595733395408671","1.9222337060022794","2.1030101071410914","1.6482469581714736","1.8419619601004196","1.559004835826807","1.8184957345367094","1.9162152755306423","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938001","2.0702516363411236","1.983903202458031","1.8477178288054235"
,"1.799558039307449","2.132878436708091","1.6562843587083818","2.1590592591062614","1.7872324811666047","2.06321488911832","2.032912335859538","2.0907283999699815","2.1022138515606636","1.595733395408671","1.922233706002279","2.105366688024249","1.6482469581714736","1.8419619601004196","1.559004835826807","1.81849573453671","1.9114930418140677","1.7957321006686422","2.1619932396197203","1.8041579153580127","1.8288817413378","1.7989592051938004","2.0702516363411236","1.9839032024580305","1.839705488943438"
,"1.7995580393074493","2.132878436708091","1.6562843587083818","2.1590592591062614","1.787232481166605","2.06321488911832","2.032912335859538","2.0879299278166172","2.102213851560663","1.595733395408671","1.922233706002279","2.1077981039289733","1.6482469581714734","1.8419619601004196","1.5590048358268067","1.8232412784015344","1.9068018347508087","1.795732100668642","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938004","2.0702516363411236","1.9839032024580308","1.831705401574867"
,"1.7995580393074488","2.132878436708091","1.6562843587083813","2.1590592591062614","1.787232481166605","2.06321488911832","2.032912335859538","2.0851666580710013","2.1022138515606636","1.595733395408671","1.9222337060022787","2.1103022745863718","1.6482469581714736","1.8419619601004196","1.559004835826807","1.8220345939271843","1.9021469538165672","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938001","2.0702516363411236","1.9839032024580305","1.8237182664397873"
,"1.7995580393074493","2.1328784367080904","1.6562843587083818","2.1590592591062614","1.7872324811666047","2.06321488911832","2.032912335859538","2.082440086904717","2.1022138515606636","1.595733395408671","1.9222337060022787","2.1128771372786543","1.6482469581714734","1.8419619601004196","1.559004835826807","1.8208541316808449","1.897534920705328","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938001","2.0702516363411236","1.9839032024580305","1.815744836325721"
,"1.7995580393074488","2.13287843670809","1.6562843587083818","2.1590592591062614","1.7872324811666047","2.06321488911832","2.032912335859538","2.0797517748740364","2.1022138515606636","1.595733395408671","1.922233706002279","2.115520651546869","1.6482469581714734","1.8419619601004196","1.559004835826807","1.8197005534961013","1.892973832003514","1.7957321006686426","2.1619932396197203","1.8041579153580127","1.8288817413378","1.7989592051938001","2.0702516363411236","1.9839032024580305","1.8077859220586783"
